Date, Open, High, Low, Close,,,,,
10/27/22,67103.09,67371.78,66641.58,67123.41,20.32,0.0%,0.030281765,,54
10/26/22,65915.89,67103.09,65915.89,67103.09,1187.2,1.8%,1.801083168,,327
10/25/22,65088.77,66023.69,65088.77,65850.84,762.07,1.2%,1.17081641,,3672
10/24/22,65607.12,65823.85,64662.96,64975.95,-631.17,-1.0%,-0.962044973,,3945
10/21/22,65021.41,66015.75,64705.82,65539.24,517.83,0.8%,0.796399217,,
10/20/22,65301.24,65869.44,64854.32,65794.28,493.04,0.8%,0.755023947,,
10/19/22,65987.24,66057.68,65175.88,65652.5,-334.74,-0.5%,-0.507279892,,
10/18/22,66526.68,66902.27,66187.81,66350.98,-175.7,-0.3%,-0.264104567,,
10/17/22,64309.42,66262.75,64149.01,66190.75,1881.33,2.9%,2.925434563,,
10/14/22,65593.7,65774.42,64082.4,64271.36,-1322.34,-2.0%,-2.015955801,,
10/13/22,64506.12,64808.04,63662.88,64392.43,-113.69,-0.2%,-0.176246843,,
2010/12/22,64765.42,65023.38,64319.94,64528.23,-237.19,-0.4%,-0.366229386,,
2010/11/22,64476.83,65146.5,64121.29,64588.09,111.26,0.2%,0.172558111,,
2010/10/22,65259.55,65419.01,64552.02,64769.2,-490.35,-0.8%,-0.75138428,,
2010/07/22,65374.75,65924.46,65217,65675.48,300.73,0.5%,0.460009407,,
2010/06/22,66070.33,66562.1,65715.59,65832.67,-237.66,-0.4%,-0.359707602,,
2010/05/22,66176.02,66456.39,65387.75,65612.76,-563.26,-0.9%,-0.85115424,,
2010/04/22,65058.1,66312.83,65058.1,66312.83,1254.73,1.9%,1.928629948,,
2010/03/22,63369.21,64312.56,63280.34,64227.23,858.02,1.4%,1.354001415,,
09/30/22,63636.67,63970.81,63261.06,63726.37,89.7,0.1%,0.140956464,,
09/29/22,63775.63,63945.43,62598.87,63263.94,-511.69,-0.8%,-0.802328413,,
09/28/22,63195.9,63808.32,62193.93,63808.32,612.42,1.0%,0.969081855,,
09/27/22,63827.75,64218.36,63371.27,64025.95,198.2,0.3%,0.310523244,,
09/26/22,63003.22,63786.98,62646.37,63625.66,622.44,1.0%,0.987949505,,
09/23/22,65173.28,65173.28,63267.05,63416.66,-1756.62,-2.7%,-2.695307034,,
09/22/22,65440.81,66106.14,65190.99,65276.97,-163.84,-0.3%,-0.250363649,,
09/21/22,66229.57,66375,65893.16,66208.71,-20.86,0.0%,-0.031496505,,
09/20/22,67089.87,67439.11,66425.94,66602.84,-487.03,-0.7%,-0.725936717,,
09/19/22,66280.54,66534.69,65540.16,66474.86,194.32,0.3%,0.293178058,,
09/16/22,67035.82,67035.82,66334.32,66584.34,-451.48,-0.7%,-0.67349068,,
09/15/22,67833.71,68478.31,67555.83,67568.26,-265.45,-0.4%,-0.391324608,,
09/14/22,67774.62,68124.28,67435.54,67964.02,189.4,0.3%,0.279455643,,
09/13/22,69700.27,69866.5,68128.64,68273.71,-1426.56,-2.0%,-2.046706562,,
2009/12/22,69121.06,70064.69,69121.06,69772.41,651.35,0.9%,0.942332192,,
2009/09/22,67870.8,69221.42,67870.8,68708.48,837.68,1.2%,1.234227385,,
2009/08/22,66790.29,67524.74,66596.87,67260.23,469.94,0.7%,0.70360527,,
2009/07/22,67006.22,67164.31,66313.29,66715.83,-290.39,-0.4%,-0.433377677,,
2009/06/22,67509.66,67954.07,67143.53,67538.77,29.11,0.0%,0.043119755,,
2009/05/22,67095.8,67723.33,66846.07,67399.39,303.59,0.5%,0.452472435,,
2009/02/22,66352.96,67409.31,66211.11,67378.31,1025.35,1.5%,1.545296547,,
2009/01/22,66790.99,66815.27,65830.5,66021.71,-769.28,-1.2%,-1.151772118,,
08/31/22,68188.82,68636.46,67257.14,67257.14,-931.68,-1.4%,-1.366323688,,
08/30/22,69221.62,69548.62,67689.43,67900.48,-1321.14,-1.9%,-1.908565561,,
08/29/22,69184.18,69517.42,68627.96,69207.02,22.84,0.0%,0.033013328,,
08/26/22,70359.75,71054.87,70062.67,70173.09,-186.66,-0.3%,-0.265293723,,
08/25/22,70275.61,70592.8,69988.47,70340.7,65.09,0.1%,0.092621039,,
08/24/22,69872.95,70106.31,69520.49,69808.71,-64.24,-0.1%,-0.091938297,,
08/23/22,69320.41,70032.64,69123.15,69772.27,451.86,0.7%,0.651842654,,
08/22/22,69588.87,69713.59,68705.84,69195.6,-393.27,-0.6%,-0.565133476,,
08/19/22,71028.52,71081.59,69594.84,69719.43,-1309.09,-1.8%,-1.843048398,,
08/18/22,71085.53,71238.62,70817.62,71011.38,-74.15,-0.1%,-0.104310962,,
08/17/22,71329.32,71423.07,70742.35,70967.35,-361.97,-0.5%,-0.50746313,,
08/16/22,71011.39,71563.01,70762.98,71504.69,493.3,0.7%,0.694677291,,
08/15/22,70831.75,71159.24,70629.78,70740.63,-91.12,-0.1%,-0.128642876,,
2008/12/22,70869.56,71305.04,70731.32,70731.32,-138.24,-0.2%,-0.195062591,,
2008/11/22,69899.25,71399.61,69899.25,71264.77,1365.52,2.0%,1.95355458,,
2008/10/22,69311.97,70090.89,69279.19,69744.9,432.93,0.6%,0.624610727,,
2008/09/22,69504.56,70480.4,69308.14,70266.13,761.57,1.1%,1.095712281,,
2008/08/22,69519.27,70480.4,69308.14,70266.13,746.86,1.1%,1.074320832,,
2008/05/22,69025.9,69645.77,68774.21,69519.27,493.37,0.7%,0.714760691,,
2008/04/22,68889.96,69461.1,68652.41,68717.02,-172.94,-0.3%,-0.251038032,,
2008/03/22,68060.97,69107.99,68046.7,68610.57,549.6,0.8%,0.807511265,,
2008/02/22,68503.76,68567.77,67501.73,68002.23,-501.53,-0.7%,-0.732120397,,
2008/01/22,69023.14,69424.8,68263.35,68642.59,-380.55,-0.6%,-0.551336842,,
07/29/22,68824.63,69176.44,68478.14,68934.01,109.38,0.2%,0.158925664,,
07/28/22,68897.22,69464.73,68460.39,68610.75,-286.47,-0.4%,-0.415793264,,
07/27/22,68262.77,68693.25,68217.77,68424.97,162.2,0.2%,0.237611219,,
07/26/22,68312.27,68458.25,67954.47,68421.8,109.53,0.2%,0.160337228,,
07/25/22,67714.57,68252.62,67322.37,67749.79,35.22,0.1%,0.05201244,,
07/22/22,67986.87,68437.85,67986.87,68069.58,82.71,0.1%,0.121655843,,
07/21/22,67472.22,68099.38,67053.65,67907.24,435.02,0.6%,0.64473942,,
07/20/22,68201.94,68528.66,67093.01,67652.46,-549.48,-0.8%,-0.805666232,,
07/19/22,66470.84,67797.48,66418.33,67785.04,1314.2,2.0%,1.977107556,,
07/18/22,66136.38,67177.28,66136.38,67016.14,879.76,1.3%,1.330220977,,
07/15/22,64404.13,65306.6,64118.05,65088.9,684.77,1.1%,1.063239267,,
07/14/22,66074.85,66381.17,64348.29,64712.88,-1361.97,-2.1%,-2.061253261,,
07/13/22,67100.4,67110.7,65345.53,66142.69,-957.71,-1.4%,-1.427279122,,
2007/12/22,66863.02,67224.54,66619.87,67163.71,300.69,0.4%,0.449710468,,
2007/11/22,67006.28,67635.86,66615.54,67226.75,220.47,0.3%,0.329028861,,
2007/08/22,67651.44,68491.37,67089.26,68327.4,675.96,1.0%,0.999180505,,
2007/07/22,66636.06,67971.71,66435.09,67909.29,1273.23,1.9%,1.910722213,,
2007/06/22,65482.93,66278.88,65481.23,65756.36,273.43,0.4%,0.417559202,,
2007/05/22,67092.5,67092.5,64719.99,65005.81,-2086.69,-3.1%,-3.110168797,,
