"Date","Price","Open","High","Low","Change %"
"Oct 2022","7.090","6.150","7.150","6.150","5.19%"
"Sep 2022","6.740","6.260","7.200","6.150","6.98%"
"Aug 2022","6.300","6.450","6.600","6.100","1.61%"
"Jul 2022","6.200","5.850","6.760","5.250","5.98%"
"Jun 2022","5.850","5.490","6.550","4.500","4.28%"
"May 2022","5.610","4.500","5.710","4.500","11.09%"
"Apr 2022","5.050","5.300","5.560","4.500","-6.65%"
"Mar 2022","5.410","5.150","5.810","4.500","7.13%"
"Feb 2022","5.050","5.300","5.850","4.500","-3.81%"
"Jan 2022","5.250","4.500","5.860","4.500","0.00%"
"Dec 2021","5.250","4.900","6.100","4.250","6.92%"
"Nov 2021","4.910","4.650","5.500","2.500","15.53%"
"Oct 2021","4.250","5.500","5.500","1.700","33.23%"
"Sep 2021","3.190","4.510","5.500","3.190","-33.12%"
"Aug 2021","4.770","4.600","5.500","2.230","13.84%"
"Jul 2021","4.190","4.600","5.000","3.190","-0.71%"
"Jun 2021","4.220","4.750","5.200","3.650","40.67%"
"May 2021","3.000","4.400","5.400","3.000","-39.15%"
"Apr 2021","4.930","4.810","5.000","3.250","1.23%"
"Mar 2021","4.870","3.750","5.000","3.360","33.42%"
"Feb 2021","3.650","3.750","5.480","3.250","-25.81%"
"Jan 2021","4.920","3.750","5.500","2.890","31.20%"
"Dec 2020","3.750","4.400","6.500","2.780","-19.35%"
"Nov 2020","4.650","3.600","4.800","2.840","29.17%"
"Oct 2020","3.600","4.400","4.400","2.900","-18.18%"
"Sep 2020","4.400","3.800","4.400","2.730","31.34%"
"Aug 2020","3.350","3.600","4.150","1.800","0.90%"
"Jul 2020","3.320","4.500","4.600","1.550","-26.22%"
"Jun 2020","4.500","3.600","5.100","3.020","25.00%"
"May 2020","3.600","3.650","4.500","1.500","16.13%"
"Apr 2020","3.100","5.540","6.050","0.800","-12.43%"
"Mar 2020","3.540","6.000","6.750","3.540","-41.00%"
"Feb 2020","6.000","6.000","6.000","6.000","0.00%"
"Jan 2020","6.000","6.000","6.000","6.000","0.00%"
"Dec 2019","6.000","6.000","6.000","6.000","0.00%"
"Nov 2019","6.000","6.000","6.000","6.000","0.00%"
"Oct 2019","6.000","6.000","6.000","6.000","0.00%"
"Sep 2019","6.000","6.000","6.000","6.000","-11.11%"
"Aug 2019","6.750","6.750","6.750","6.750","1.66%"
"Jul 2019","6.640","6.640","6.640","6.640","-1.48%"
"Jun 2019","6.740","6.740","6.740","6.740","-1.32%"
"May 2019","6.830","6.830","6.830","6.830","-0.29%"
"Apr 2019","6.850","6.850","6.850","6.850","11.38%"
"Mar 2019","6.150","6.150","6.150","6.150","-12.14%"
"Feb 2019","7.000","7.000","7.000","7.000","0.57%"
"Jan 2019","6.960","6.960","6.960","6.960","-4.00%"
"Dec 2018","7.250","7.250","7.250","7.250","20.43%"
"Nov 2018","6.020","6.020","6.020","6.020","-19.73%"
"Oct 2018","7.500","7.500","7.500","7.500","5.63%"
"Sep 2018","7.100","7.100","7.100","7.100","0.28%"
"Aug 2018","7.080","7.080","7.080","7.080","14.19%"
"Jul 2018","6.200","6.200","6.200","6.200","-10.14%"
"Jun 2018","6.900","6.900","6.900","6.900","9.52%"
"May 2018","6.300","6.300","6.300","6.300","-0.79%"
"Apr 2018","6.350","6.350","6.350","6.350","-10.06%"
"Mar 2018","7.060","7.060","7.060","7.060","6.97%"
"Feb 2018","6.600","6.600","6.600","6.600","10.00%"
"Jan 2018","6.000","6.000","6.000","6.000","-14.89%"
"Dec 2017","7.050","7.050","7.050","7.050","10.16%"
"Nov 2017","6.400","6.400","6.400","6.400","-11.72%"
"Oct 2017","7.250","7.250","7.250","7.250","31.82%"
"Sep 2017","5.500","5.500","5.500","5.500","-14.73%"
"Aug 2017","6.450","6.450","6.450","6.450","1.57%"
"Jul 2017","6.350","6.350","6.350","6.350","-5.51%"
"Jun 2017","6.720","6.720","6.720","6.720","5.00%"
"May 2017","6.400","6.400","6.400","6.400","-5.19%"
"Apr 2017","6.750","6.750","6.750","6.750","5.47%"
"Mar 2017","6.400","6.400","6.400","6.400","-5.19%"
"Feb 2017","6.750","6.750","6.750","6.750","-1.46%"
"Jan 2017","6.850","6.850","6.850","6.850","-14.38%"
"Dec 2016","8.000","8.000","8.000","8.000","-4.76%"
"Nov 2016","8.400","8.400","8.400","8.400","12.00%"
"Oct 2016","7.500","7.500","7.500","7.500","2.74%"
"Sep 2016","7.300","7.300","7.300","7.300","7.35%"
"Aug 2016","6.800","6.800","6.800","6.800","-15.00%"
"Jul 2016","8.000","8.000","8.000","8.000","5.26%"
